id,date,sd,quantile,sign,trade,perd,chg,name,closing_price
604,2014/6/30,-0.00195499,-0.0382424,0,0,0,0,marketing_bear_lin2,0
605,2014/7/31,0.0333168,-0.0310237,0,0,0,0,marketing_bear_lin2,0
606,2014/8/29,0.0266365,-0.027496,0,0,0,0,marketing_bear_lin2,0
607,2014/9/30,0.038491,-0.027124,0,0,0,0,marketing_bear_lin2,0
608,2014/10/31,0.0172986,-0.0274118,0,0,0,0,marketing_bear_lin2,0
609,2014/11/28,-0.021399,-0.0292462,0,0,0,0,marketing_bear_lin2,0
610,2014/12/31,-0.0332298,-0.0315456,1,0,0,0,marketing_bear_lin2,0
611,2015/1/30,-0.0132991,-0.0330348,0,0,0,0,marketing_bear_lin2,0
612,2015/2/27,0.00357877,-0.0335753,0,0,0,0,marketing_bear_lin2,0
613,2015/3/31,0.00513651,-0.033055,0,0,0,0,marketing_bear_lin2,0
614,2015/4/30,-0.024742,-0.0309791,0,0,0,0,marketing_bear_lin2,0
615,2015/5/29,-0.00123986,-0.026673,0,0,0,0,marketing_bear_lin2,0
616,2015/6/30,-0.0208665,-0.0286366,0,0,0,0,marketing_bear_lin2,0
617,2015/7/31,-0.0498008,-0.0327642,1,0,0,0,marketing_bear_lin2,0
618,2015/8/31,-0.0782424,-0.0390768,1,1,0,0,marketing_bear_lin2,0
619,2015/9/30,-0.10401,-0.0496167,1,1,1,1,marketing_bear_lin2,0
620,2015/10/30,-0.0585168,-0.0533658,1,1,1,0,marketing_bear_lin2,0
621,2015/11/30,-0.0413744,-0.0542478,0,0,1,0,marketing_bear_lin2,0
622,2015/12/31,-0.0294534,-0.0536034,0,0,1,0,marketing_bear_lin2,0
623,2016/1/29,-0.0267941,-0.0508662,0,0,1,0,marketing_bear_lin2,0
624,2016/2/29,-0.000473882,-0.0504994,0,0,0,-1,marketing_bear_lin2,0
625,2016/3/31,0.0438389,-0.0508458,0,0,0,0,marketing_bear_lin2,0
626,2016/4/29,0.058534,-0.0515596,0,0,0,0,marketing_bear_lin2,0
627,2016/5/31,0.0486356,-0.0517547,0,0,0,0,marketing_bear_lin2,0
628,2016/6/30,0.0636048,-0.051768,0,0,0,0,marketing_bear_lin2,0
629,2016/7/29,0.0576042,-0.0520457,0,0,0,0,marketing_bear_lin2,0
630,2016/8/31,0.0688787,-0.0524839,0,0,0,0,marketing_bear_lin2,0
631,2016/9/30,0.0571975,-0.0526258,0,0,0,0,marketing_bear_lin2,0
632,2016/10/31,0.0483391,-0.0523641,0,0,0,0,marketing_bear_lin2,0
633,2016/11/30,0.00923717,-0.0509534,0,0,0,0,marketing_bear_lin2,0
